vacc_prop,mean_inf,median_inf,lower95,lower80,upper80,upper95
0,1788857.6423458387,46,12,14,6717679.6,8221622.15
0.2,761725.7332470893,46,12,14,3672581.8000000007,5633789.649999999
0.4,144529.59629150495,46,12,14,55348.40000000005,2392619.349999998
0.6,11373.47416990082,46,12,14,2195,21708.199999999953
0.8,2012.4466580422597,46,12,14,1278.6000000000004,6075.699999999986
1,1588.6213885295385,46,12,14,1057.6000000000004,4500.599999999991
