vacc_prop,mean_para,median_para,lower95,lower80,upper80,upper95
0,8983.936783096162,1,1,1,32143.600000000006,68838.79999999996
0.2,3515.0623544631308,1,1,1,11600.000000000004,35679.749999999985
0.4,521.1897369555843,1,1,1,127,6572.449999999999
0.6,25.862095730918497,1,1,1,6,32
0.8,2.079430789133247,1,1,1,4,10
1,1.711168607158258,1,1,1,3,8
